timestamp,duration
1630588169210,714
1630588169924,703
1630588170627,701
1630588171328,703
1630588172031,716
1630588172747,737
1630588173484,727
1630588174211,745
1630588174956,757
1630588175713,758
1630588176471,740
1630588177211,734
1630588177945,743
1630588178688,749
1630588179437,769
1630588180206,782
1630588180988,793
1630588181781,767
1630588182548,761
1630588183309,737
1630588184046,737
1630588184783,777
1630588185560,843
1630588186403,873
1630588187276,863
1630588188139,893
1630588189032,900
1630588189932,882
1630588190814,845
1630588191659,841
1630588192500,838
1630588193338,818
1630588194156,826
1630588194982,843
1630588195825,824
1630588196649,813
1630588197462,818
1630588198280,819
1630588199099,804
1630588199903,813
1630588200716,822
1630588201538,799
1630588202337,809
1630588203146,810
1630588203956,785
1630588204741,799
1630588205540,797
1630588206337,789
1630588207126,780
1630588207906,770
1630588208676,782
1630588209458,768
1630588210226,767
1630588210993,730
1630588211723,709
1630588212432,708
1630588213140,735
1630588213875,746
1630588214621,738
1630588215359,766
1630588216125,813
1630588216938,802
1630588217740,828
1630588218568,834
1630588219402,823
1630588220225,804
1630588221029,800
1630588221829,794
1630588222623,788
1630588223411,784
1630588224195,799
1630588224994,807
1630588225801,807
1630588226608,804
1630588227412,812
1630588228224,815
1630588229039,796
1630588229835,805
1630588230640,810
1630588231450,798
1630588232248,782
1630588233030,783
1630588233813,785
1630588234598,789
1630588235387,789
1630588236176,802
1630588236978,797
1630588237775,747
1630588238522,738
1630588239260,715
1630588239975,690
1630588240665,686
1630588241351,714
1630588242065,727
1630588242792,770
1630588243562,821
1630588244383,832
1630588245215,822
1630588246037,802
1630588246839,767
1630588247606,742
1630588248348,746
1630588249094,746
1630588249840,735
1630588250575,736
1630588251311,747
1630588252058,754
1630588252812,752
1630588253564,761
1630588254325,784
1630588255109,794
1630588255903,789
1630588256692,783
1630588257475,789
1630588258264,784
1630588259048,768
1630588259816,773
1630588260589,773
1630588261362,761
1630588262123,762
1630588262885,769
1630588263654,782
1630588264436,770
1630588265206,765
1630588265971,773
1630588266744,792
1630588267536,784
1630588268320,788
1630588269108,791
1630588269899,804
1630588270703,805
1630588271508,807
1630588272315,830
1630588273145,856
1630588274001,811
1630588274812,823
1630588275635,804
1630588276439,819
1630588277258,798
1630588278056,794
1630588278850,786
1630588279636,767
1630588280403,762
1630588281165,733
1630588281898,720
1630588282618,712
1630588283330,720
1630588284050,708
1630588284758,726
1630588285484,733
1630588286217,749
1630588286966,741
1630588287707,755
1630588288462,750
1630588289212,746
1630588289958,740
1630588290698,740
