timestamp,breathing_waveform
1630588169039,7501392
1630588169079,7501079
1630588169119,7498471
1630588169159,7497585
1630588169199,7497533
1630588169239,7497063
1630588169279,7500349
1630588169319,7504834
1630588169359,7505668
1630588169399,7506607
1630588169439,7509423
1630588169479,7512291
1630588169519,7515576
1630588169559,7517819
1630588169599,7520635
1630588169639,7524129
1630588169679,7528509
1630588169719,7534663
1630588169759,7537062
1630588169799,7537844
1630588169839,7536957
1630588169879,7534559
1630588169919,7527101
1630588169959,7521313
1630588169999,7518340
1630588170039,7516098
1630588170079,7513021
1630588170119,7509162
1630588170159,7509005
1630588170199,7510935
1630588170239,7513073
1630588170279,7515681
1630588170319,7519696
1630588170359,7521834
1630588170399,7521365
1630588170439,7521156
1630588170479,7520896
1630588170519,7520061
1630588170559,7519488
1630588170599,7521208
1630588170639,7520426
1630588170679,7518184
1630588170719,7517454
1630588170759,7516619
1630588170799,7513595
1630588170839,7511405
1630588170879,7510726
1630588170919,7510570
1630588170959,7512447
1630588170999,7515941
1630588171039,7519123
1630588171079,7521730
1630588171119,7525328
1630588171159,7526997
1630588171199,7527727
1630588171239,7528040
1630588171279,7528040
1630588171319,7528770
1630588171359,7528509
1630588171399,7529448
1630588171439,7528874
1630588171479,7528144
1630588171519,7526267
1630588171559,7523399
1630588171599,7520896
1630588171639,7519331
1630588171679,7517401
1630588171719,7515785
1630588171759,7514012
1630588171799,7512760
1630588171839,7511613
1630588171879,7509892
1630588171919,7508797
1630588171959,7507597
1630588171999,7506294
1630588172039,7504834
1630588172079,7503426
1630588172119,7502904
1630588172159,7502278
1630588172199,7500922
1630588172239,7500036
1630588172279,7498367
1630588172319,7497272
1630588172359,7496020
1630588172399,7496438
1630588172439,7496125
1630588172479,7495238
1630588172519,7494299
1630588172559,7494508
1630588172599,7494247
1630588172639,7493100
1630588172679,7494716
1630588172719,7493517
1630588172759,7493100
1630588172799,7494091
1630588172839,7493986
1630588172879,7493778
1630588172919,7493934
1630588172959,7493100
1630588172999,7492891
1630588173039,7492214
1630588173079,7491796
1630588173119,7492318
1630588173159,7491692
1630588173199,7491483
1630588173239,7491796
1630588173279,7492526
1630588173319,7493100
1630588173359,7493152
1630588173399,7494508
1630588173439,7495447
1630588173479,7496490
1630588173519,7497846
1630588173559,7500714
1630588173599,7503165
1630588173639,7506294
1630588173679,7507285
1630588173719,7510257
1630588173759,7511978
1630588173799,7514533
1630588173839,7516776
1630588173879,7517923
1630588173919,7518549
1630588173959,7520009
