timestamp,hr,br,posture,hr_confidence,hrv,is_hr_unreliable,is_br_unreliable,is_hrv_unreliable
1629810616447,60,16.0,-179,100,56.0,0,0,0
1629810617447,61,16.0,-179,100,57.0,0,0,0
1629810618447,60,16.0,-179,100,57.0,0,0,0
1629810619447,63,16.0,180,100,57.0,0,0,0
1629810620447,66,16.0,180,100,57.0,0,0,0
1629810621447,65,16.0,-179,100,57.0,0,0,0
1629810622447,61,16.0,-179,100,57.0,0,0,0
1629810623447,59,16.0,-179,100,58.0,0,0,0
1629810624447,59,16.0,-179,100,59.0,0,0,0
1629810625447,60,16.0,-179,100,59.0,0,0,0
1629810626447,60,16.0,-179,100,59.0,0,0,0
1629810627447,58,16.0,-179,100,60.0,0,0,0
1629810628447,57,16.0,-179,100,61.0,0,0,0
1629810629447,57,15.0,-179,100,60.0,0,0,0
1629810630447,60,15.0,-179,100,60.0,0,0,0
1629810631447,59,15.0,-179,100,61.0,0,0,0
1629810632447,58,15.0,-179,100,61.0,0,0,0
1629810633447,59,15.0,-179,100,61.0,0,0,0
1629810634447,62,15.0,-179,100,61.0,0,0,0
1629810635447,61,15.0,-179,100,62.0,0,0,0
1629810636447,59,15.0,-179,100,62.0,0,0,0
1629810637447,61,14.0,-179,100,62.0,0,0,0
1629810638447,62,14.0,-179,100,62.0,0,0,0
1629810639447,61,14.0,-179,100,62.0,0,0,0
1629810640447,60,14.0,-179,100,63.0,0,0,0
1629810641447,59,14.0,-179,100,63.0,0,0,0
1629810642447,62,14.0,-179,100,63.0,0,0,0
1629810643447,63,14.0,-179,100,63.0,0,0,0
1629810644447,62,14.0,-179,100,63.0,0,0,0
1629810645447,61,14.0,-179,100,63.0,0,0,0
1629810646447,60,14.0,-179,100,63.0,0,0,0
1629810647447,62,14.0,-179,100,63.0,0,0,0
1629810648447,64,14.0,-179,100,63.0,0,0,0
1629810649447,64,14.0,-179,100,64.0,0,0,0
1629810650447,62,14.0,-179,100,63.0,0,0,0
1629810651447,61,14.0,-179,100,63.0,0,0,0
1629810652447,62,14.0,-179,100,63.0,0,0,0
1629810653447,66,14.0,-179,100,63.0,0,0,0
1629810654447,65,14.0,-179,100,63.0,0,0,0
1629810655447,64,13.0,-179,100,63.0,0,0,0
1629810656447,63,13.0,-179,100,63.0,0,0,0
1629810657447,66,13.0,-179,100,63.0,0,0,0
1629810658447,68,13.0,-179,100,63.0,0,0,0
1629810659447,65,13.0,-179,100,63.0,0,0,0
1629810660447,64,13.0,-179,100,63.0,0,0,0
1629810661447,66,13.0,-179,100,63.0,0,0,0
1629810662447,67,13.0,-179,100,63.0,0,0,0
1629810663447,66,13.0,-179,100,63.0,0,0,0
1629810664447,64,13.0,-179,100,63.0,0,0,0
1629810665447,67,13.0,-179,100,63.0,0,0,0
1629810666447,68,13.0,-179,100,62.0,0,0,0
1629810667447,66,13.0,-179,100,62.0,0,0,0
1629810668447,63,13.0,-179,100,62.0,0,0,0
1629810669447,66,13.0,-179,100,62.0,0,0,0
1629810670447,67,13.0,-179,100,62.0,0,0,0
1629810671447,65,13.0,-179,100,62.0,0,0,0
1629810672447,64,13.0,-179,100,62.0,0,0,0
1629810673447,65,13.0,-179,100,62.0,0,0,0
1629810674447,67,13.0,-179,100,62.0,0,0,0
1629810675447,66,13.0,-179,100,62.0,0,0,0
1629810676447,64,13.0,-179,100,61.0,0,0,0
