timestamp,breathing_waveform
1629708999004,7479698
1629708999044,7484235
1629708999084,7486738
1629708999124,7489449
1629708999164,7492422
1629708999204,7492735
1629708999244,7492578
1629708999284,7493204
1629708999324,7492161
1629708999364,7490492
1629708999404,7486894
1629708999444,7483192
1629708999484,7478915
1629708999524,7474796
1629708999564,7471301
1629708999604,7468433
1629708999644,7464887
1629708999684,7460872
1629708999724,7457534
1629708999764,7454457
1629708999804,7452006
1629708999844,7448669
1629708999884,7446374
1629708999924,7443871
1629708999964,7441264
1629709000004,7439803
1629709000044,7438656
1629709000084,7436518
1629709000124,7434380
1629709000164,7434067
1629709000204,7430990
1629709000244,7427548
1629709000284,7424628
1629709000324,7423272
1629709000364,7421603
1629709000404,7421447
1629709000444,7421499
1629709000484,7422073
1629709000524,7420925
1629709000564,7420665
1629709000604,7420717
1629709000644,7420404
1629709000684,7420143
1629709000724,7419987
1629709000764,7419778
1629709000804,7419883
1629709000844,7420456
1629709000884,7420560
1629709000924,7420091
1629709000964,7420612
1629709001004,7420612
1629709001044,7420039
1629709001084,7419987
1629709001124,7419517
1629709001164,7420456
1629709001204,7419257
1629709001244,7416649
1629709001284,7415658
1629709001324,7415397
1629709001364,7414407
1629709001404,7414302
1629709001444,7415189
1629709001484,7415189
1629709001524,7415085
1629709001564,7414511
1629709001604,7413885
1629709001644,7414146
1629709001684,7413416
1629709001724,7415085
1629709001764,7417640
1629709001804,7423168
1629709001844,7428018
1629709001884,7433806
1629709001924,7438865
1629709001964,7443297
1629709002004,7447730
1629709002044,7453049
1629709002084,7459203
1629709002124,7465096
1629709002164,7472240
1629709002204,7477612
1629709002244,7482670
1629709002284,7488615
1629709002324,7494195
1629709002364,7499671
1629709002404,7505146
1629709002444,7510831
1629709002484,7516411
1629709002524,7521574
1629709002564,7526893
1629709002604,7533411
1629709002644,7539304
1629709002684,7545197
1629709002724,7551924
1629709002764,7557765
1629709002804,7563397
1629709002844,7569082
1629709002884,7574557
1629709002924,7580398
1629709002964,7584830
1629709003004,7589524
1629709003044,7594530
1629709003084,7599015
1629709003124,7603031
1629709003164,7606525
1629709003204,7610905
1629709003244,7614243
1629709003284,7617424
1629709003324,7621335
1629709003364,7625090
1629709003404,7628375
1629709003444,7630357
1629709003484,7631713
1629709003524,7631400
1629709003564,7629262
1629709003604,7627802
1629709003644,7626185
1629709003684,7622587
1629709003724,7619301
1629709003764,7617737
1629709003804,7614556
1629709003844,7610436
1629709003884,7607829
1629709003924,7603083
1629709003964,7597816
1629709004004,7592444
1629709004044,7588533
1629709004084,7582953
1629709004124,7579146
1629709004164,7574661
1629709004204,7570698
1629709004244,7565327
1629709004284,7561103
1629709004324,7557817
1629709004364,7553489
1629709004404,7548743
1629709004444,7544102
1629709004484,7538626
1629709004524,7534559
1629709004564,7530543
1629709004604,7526423
1629709004644,7522304
1629709004684,7516723
1629709004724,7512343
1629709004764,7507962
1629709004804,7501965
1629709004844,7497063
1629709004884,7492318
1629709004924,7488146
1629709004964,7483817
1629709005004,7481262
1629709005044,7478342
1629709005084,7474952
1629709005124,7471823
1629709005164,7470050
1629709005204,7468329
1629709005244,7465148
1629709005284,7463740
1629709005324,7461289
1629709005364,7459724
1629709005404,7457899
1629709005444,7456752
1629709005484,7457013
1629709005524,7455709
1629709005564,7454822
1629709005604,7453310
1629709005644,7452424
1629709005684,7448669
1629709005724,7444862
1629709005764,7444027
1629709005804,7442463
1629709005844,7442254
1629709005884,7441003
1629709005924,7442202
1629709005964,7441576
1629709006004,7438813
1629709006044,7436779
1629709006084,7436049
1629709006124,7433650
1629709006164,7432711
1629709006204,7431616
1629709006244,7430364
1629709006284,7429791
1629709006324,7429426
1629709006364,7428852
1629709006404,7428278
1629709006444,7427287
1629709006484,7425619
1629709006524,7425150
1629709006564,7423376
1629709006604,7422125
1629709006644,7420299
1629709006684,7419465
1629709006724,7415815
1629709006764,7413833
1629709006804,7412373
1629709006844,7411330
1629709006884,7410026
1629709006924,7409400
1629709006964,7410965
1629709007004,7410965
1629709007044,7409974
1629709007084,7410443
1629709007124,7409765
1629709007164,7408983
1629709007204,7409348
1629709007244,7409035
1629709007284,7408201
1629709007324,7408149
1629709007364,7408618
1629709007404,7409765
1629709007444,7410183
1629709007484,7409870
1629709007524,7410861
1629709007564,7410339
1629709007604,7411538
1629709007644,7411538
1629709007684,7411747
1629709007724,7413207
1629709007764,7411851
1629709007804,7409765
1629709007844,7408357
1629709007884,7406584
1629709007924,7406167
1629709007964,7405750
1629709008004,7406636
1629709008044,7407002
1629709008084,7406480
1629709008124,7406480
1629709008164,7407158
1629709008204,7407262
1629709008244,7407262
1629709008284,7407158
1629709008324,7405959
1629709008364,7406793
1629709008404,7406376
1629709008444,7406011
1629709008484,7406636
1629709008524,7406324
1629709008564,7406219
1629709008604,7406011
1629709008644,7406741
1629709008684,7405906
1629709008724,7405385
1629709008764,7405802
1629709008804,7405176
1629709008844,7403664
1629709008884,7402047
1629709008924,7400796
1629709008964,7399440
1629709009004,7399023
1629709009044,7399388
1629709009084,7399805
1629709009124,7400952
1629709009164,7400483
1629709009204,7401786
1629709009244,7400743
1629709009284,7401369
1629709009324,7401735
1629709009364,7401161
1629709009404,7400900
1629709009444,7401213
1629709009484,7401004
1629709009524,7401213
1629709009564,7400535
1629709009604,7401056
1629709009644,7401265
1629709009684,7401004
1629709009724,7400743
1629709009764,7400692
1629709009804,7401943
1629709009844,7400013
1629709009884,7398136
1629709009924,7397041
1629709009964,7395894
1629709010004,7396259
1629709010044,7398762
1629709010084,7402882
1629709010124,7407471
1629709010164,7411330
1629709010204,7415710
1629709010244,7418944
1629709010284,7423011
1629709010324,7426975
1629709010364,7430573
1629709010404,7434276
1629709010444,7438291
1629709010484,7441994
1629709010524,7445696
1629709010564,7449086
1629709010604,7452110
1629709010644,7456230
1629709010684,7459985
1629709010724,7463844
1629709010764,7468016
1629709010804,7471354
1629709010844,7472866
1629709010884,7475160
1629709010924,7476829
1629709010964,7478602
1629709011004,7481053
1629709011044,7481784
1629709011084,7483296
1629709011124,7483087
1629709011164,7482044
1629709011204,7479280
1629709011244,7477194
1629709011284,7474848
1629709011324,7472032
1629709011364,7469476
1629709011404,7467651
1629709011444,7465409
1629709011484,7463218
1629709011524,7460142
1629709011564,7459203
1629709011604,7456908
1629709011644,7454822
1629709011684,7451641
1629709011724,7451328
1629709011764,7447574
1629709011804,7443975
1629709011844,7441211
