timestamp,is_touching
1630415912010,1
1630415912136,1
1630415912245,1
1630415912292,1
1630415912432,1
1630415912479,1
1630415912608,1
1630415912701,1
1630415912826,1
1630415912873,1
1630415912983,1
1630415913123,1
1630415913217,1
1630415913295,1
1630415913420,1
1630415913561,1
1630415913608,1
1630415913686,1
1630415913842,1
1630415913967,1
1630415914014,1
1630415914076,1
1630415914232,1
1630415914295,1
1630415914498,1
1630415914564,1
1630415914673,1
1630415914751,1
1630415914798,1
1630415914907,1
1630415915079,1
1630415915141,1
1630415915220,1
1630415915360,1
1630415915438,1
1630415915565,1
1630415915643,1
1630415915768,1
1630415915846,1
1630415915925,1
1630415916034,1
1630415916143,1
1630415916315,1
1630415916346,1
1630415916424,1
1630415916549,1
1630415916690,1
1630415916768,1
1630415916893,1
1630415917002,1
1630415917112,1
1630415917159,1
1630415917284,1
1630415917377,1
1630415917471,1
1630415917581,1
1630415917721,1
1630415917768,1
1630415917846,1
1630415918065,1
1630415918127,1
1630415918205,1
1630415918268,1
1630415918408,1
1630415918486,1
1630415918580,1
1630415918706,1
1630415918846,1
1630415918893,1
1630415918971,1
1630415919127,1
1630415919174,1
1630415919346,1
1630415919408,1
1630415919502,1
1630415919583,1
1630415919661,1
1630415919770,1
1630415919942,1
1630415920004,1
1630415920067,1
1630415920192,1
1630415920333,1
1630415920426,1
1630415920520,1
1630415920632,1
1630415920757,1
1630415920804,1
1630415920897,1
1630415921038,1
1630415921210,1
1630415921225,1
1630415921382,1
1630415921428,1
1630415921507,1
1630415921603,1
1630415921744,1
1630415921869,1
1630415921916,1
1630415922072,1
1630415922134,1
1630415922213,1
1630415922400,1
1630415922492,1
1630415922540,1
1630415922665,1
1630415922743,1
1630415922885,1
1630415922977,1
1630415923070,1
1630415923149,1
1630415923288,1
1630415923367,1
1630415923475,1
1630415923554,1
1630415923709,1
1630415923805,1
1630415923851,1
1630415923930,1
1630415924026,1
1630415924166,1
1630415924259,1
1630415924399,1
1630415924538,1
1630415924570,1
1630415924661,1
1630415924818,1
1630415924959,1
1630415925005,1
1630415925084,1
1630415925209,1
1630415925254,1
1630415925380,1
1630415925490,1
1630415925643,1
1630415925690,1
1630415925769,1
1630415925878,1
1630415926068,1
1630415926098,1
1630415926192,1
1630415926285,1
1630415926362,1
1630415926470,1
1630415926676,1
1630415926767,1
1630415926816,1
1630415926878,1
1630415927067,1
1630415927129,1
1630415927190,1
1630415927300,1
1630415927425,1
1630415927517,1
1630415927626,1
1630415927706,1
1630415927880,1
1630415927909,1
1630415928004,1
1630415928151,1
1630415928241,1
1630415928414,1
1630415928465,1
1630415928553,1
1630415928629,1
1630415928756,1
1630415928818,1
1630415928929,1
1630415929088,1
1630415929132,1
1630415929226,1
1630415929410,1
1630415929456,1
1630415929518,1
1630415929709,1
1630415929754,1
1630415929863,1
1630415929945,1
1630415930087,1
1630415930165,1
1630415930258,1
1630415930352,1
1630415930480,1
1630415930524,1
1630415930644,1
1630415930721,1
1630415930952,1
1630415931030,1
1630415931093,1
1630415931186,1
1630415931233,1
1630415931327,1
1630415931499,1
1630415931605,1
1630415931699,1
1630415931746,1
1630415931902,1
1630415932027,1
1630415932123,1
1630415932201,1
1630415932279,1
1630415932420,1
1630415932493,1
1630415932560,1
1630415932732,1
1630415932810,1
1630415932982,1
1630415933029,1
1630415933076,1
1630415933217,1
1630415933314,1
1630415933495,1
1630415933526,1
1630415933635,1
1630415933698,1
1630415933776,1
1630415933963,1
1630415934073,1
1630415934120,1
1630415934229,1
1630415934293,1
1630415934389,1
1630415934561,1
1630415934639,1
1630415934732,1
1630415934810,1
1630415934935,1
1630415935060,1
1630415935139,1
1630415935264,1
1630415935326,1
1630415935451,1
1630415935571,1
1630415935668,1
1630415935746,1
1630415935886,1
1630415935965,1
1630415936074,1
1630415936105,1
1630415936230,1
1630415936375,1
1630415936437,1
1630415936562,1
1630415936658,1
1630415936767,1
1630415936876,1
1630415937048,1
1630415937095,1
1630415937189,1
1630415937314,1
1630415937345,1
1630415937411,1
1630415937629,1
1630415937676,1
1630415937848,1
1630415937879,1
1630415937958,1
1630415938082,1
1630415938192,1
1630415938332,1
1630415938400,1
1630415938509,1
1630415938572,1
1630415938712,1
1630415938806,1
1630415938931,1
1630415938962,1
1630415939087,1
1630415939181,1
1630415939259,1
1630415939431,1
1630415939525,1
1630415939618,1
1630415939712,1
1630415939759,1
1630415939900,1
1630415940009,1
1630415940118,1
1630415940228,1
1630415940337,1
1630415940399,1
1630415940493,1
1630415940634,1
1630415940727,1
1630415940837,1
1630415940946,1
1630415941040,1
1630415941180,1
1630415941243,1
1630415941337,1
1630415941449,1
1630415941512,1
1630415941652,1
1630415941730,1
1630415941886,1
1630415941949,1
1630415942043,1
1630415942139,1
1630415942295,1
1630415942342,1
1630415942459,1
1630415942537,1
1630415942646,1
1630415942787,1
1630415942834,1
1630415942974,1
1630415943068,1
1630415943193,1
1630415943255,1
1630415943365,1
1630415943525,1
1630415943572,1
1630415943712,1
1630415943759,1
1630415943868,1
1630415943978,1
1630415944072,1
1630415944118,1
1630415944321,1
1630415944415,1
1630415944482,1
1630415944560,1
1630415944701,1
1630415944747,1
1630415944888,1
1630415944997,1
1630415945122,1
1630415945169,1
1630415945310,1
1630415945388,1
1630415945544,1
1630415945606,1
1630415945731,1
1630415945809,1
1630415945919,1
1630415946013,1
1630415946184,1
1630415946231,1
1630415946294,1
1630415946403,1
1630415946499,1
1630415946624,1
1630415946764,1
1630415946842,1
1630415946936,1
1630415947030,1
1630415947108,1
1630415947202,1
1630415947389,1
1630415947452,1
1630415947514,1
1630415947639,1
1630415947764,1
1630415947826,1
1630415947967,1
1630415948030,1
1630415948139,1
1630415948233,1
1630415948389,1
1630415948451,1
1630415948611,1
1630415948720,1
1630415948767,1
1630415948861,1
1630415948970,1
1630415949048,1
1630415949174,1
1630415949236,1
1630415949423,1
1630415949488,1
1630415949528,1
1630415949637,1
1630415949856,1
1630415949887,1
1630415949965,1
1630415950075,1
1630415950184,1
1630415950262,1
1630415950387,1
1630415950496,1
1630415950606,1
1630415950731,1
1630415950778,1
1630415950919,1
1630415951075,1
1630415951137,1
1630415951168,1
1630415951293,1
1630415951418,1
1630415951481,1
1630415951590,1
1630415951731,1
1630415951840,1
1630415951918,1
1630415952012,1
1630415952106,1
1630415952262,1
1630415952293,1
1630415952419,1
1630415952555,1
1630415952633,1
1630415952711,1
1630415952805,1
1630415952992,1
1630415953039,1
1630415953133,1
1630415953211,1
1630415953305,1
1630415953430,1
1630415953570,1
1630415953617,1
1630415953742,1
1630415953852,1
1630415953914,1
1630415954101,1
1630415954164,1
1630415954258,1
1630415954336,1
1630415954398,1
1630415954554,1
1630415954664,1
1630415954773,1
1630415954867,1
1630415954945,1
1630415955039,1
1630415955132,1
1630415955289,1
1630415955336,1
1630415955461,1
1630415955586,1
1630415955617,1
1630415955710,1
1630415955898,1
1630415955945,1
1630415956054,1
1630415956242,1
1630415956273,1
1630415956398,1
1630415956492,1
1630415956570,1
1630415956679,1
1630415956804,1
1630415956851,1
1630415956976,1
1630415957116,1
1630415957194,1
1630415957304,1
1630415957382,1
1630415957460,1
1630415957556,1
1630415957713,1
1630415957807,1
1630415957931,1
1630415957994,1
1630415958056,1
1630415958213,1
1630415958369,1
1630415958416,1
1630415958509,1
1630415958650,1
1630415958697,1
1630415958759,1
1630415958931,1
1630415958994,1
1630415959087,1
1630415959244,1
1630415959290,1
1630415959415,1
1630415959543,1
1630415959621,1
1630415959762,1
1630415959809,1
1630415959887,1
1630415960012,1
1630415960168,1
1630415960246,1
1630415960324,1
1630415960418,1
1630415960562,1
1630415960608,1
1630415960755,1
1630415960833,1
1630415960957,1
1630415961067,1
1630415961132,1
1630415961222,1
1630415961374,1
1630415961485,1
1630415961562,1
1630415961609,1
1630415961722,1
1630415961847,1
1630415961957,1
1630415962035,1
1630415962144,1
1630415962253,1
1630415962378,1
1630415962441,1
1630415962562,1
1630415962687,1
1630415962828,1
1630415962859,1
1630415962953,1
1630415963093,1
1630415963171,1
1630415963296,1
1630415963406,1
1630415963499,1
1630415963577,1
1630415963640,1
1630415963827,1
1630415963859,1
1630415964015,1
1630415964077,1
1630415964171,1
1630415964281,1
1630415964421,1
1630415964515,1
1630415964611,1
1630415964673,1
1630415964798,1
1630415964876,1
1630415965017,1
1630415965143,1
1630415965225,1
1630415965334,1
1630415965428,1
1630415965475,1
1630415965647,1
1630415965725,1
1630415965834,1
1630415965928,1
1630415966022,1
1630415966115,1
1630415966209,1
1630415966371,1
1630415966433,1
1630415966528,1
1630415966640,1
1630415966734,1
1630415966843,1
1630415966937,1
1630415967031,1
1630415967187,1
1630415967249,1
1630415967343,1
1630415967499,1
1630415967596,1
1630415967674,1
1630415967721,1
1630415967814,1
1630415967955,1
1630415968033,1
1630415968174,1
1630415968236,1
1630415968395,1
1630415968457,1
1630415968535,1
1630415968660,1
1630415968770,1
1630415968832,1
1630415968926,1
1630415969067,1
1630415969176,1
1630415969260,1
1630415969369,1
1630415969494,1
1630415969572,1
1630415969650,1
1630415969760,1
1630415969869,1
1630415970057,1
1630415970088,1
1630415970166,1
1630415970275,1
1630415970322,1
1630415970526,1
1630415970572,1
1630415970728,1
1630415970791,1
1630415970869,1
1630415970947,1
1630415971072,1
1630415971291,1
1630415971373,1
1630415971435,1
1630415971513,1
1630415971685,1
1630415971732,1
1630415971841,1
1630415971872,1
1630415972044,1
1630415972076,1
1630415972185,1
1630415972357,1
1630415972419,1
1630415972497,1
1630415972607,1
1630415972700,1
1630415972888,1
1630415972966,1
1630415973060,1
1630415973122,1
1630415973200,1
1630415973341,1
1630415973372,1
1630415973563,1
1630415973656,1
1630415973750,1
1630415973828,1
1630415973906,1
1630415974047,1
1630415974141,1
1630415974266,1
1630415974344,1
1630415974422,1
1630415974503,1
1630415974612,1
1630415974768,1
1630415974878,1
1630415974987,1
1630415975034,1
1630415975174,1
1630415975206,1
1630415975378,1
1630415975490,1
1630415975568,1
1630415975678,1
1630415975771,1
1630415975834,1
1630415975959,1
1630415976037,1
1630415976162,1
1630415976287,1
1630415976365,1
1630415976490,1
1630415976584,1
1630415976693,1
1630415976755,1
1630415976880,1
1630415976958,1
1630415977068,1
1630415977224,1
1630415977287,1
1630415977396,1
1630415977505,1
1630415977646,1
1630415977677,1
1630415977833,1
1630415977974,1
1630415978021,1
1630415978083,1
1630415978193,1
1630415978302,1
1630415978442,1
1630415978536,1
1630415978692,1
1630415978739,1
1630415978786,1
1630415978880,1
1630415979083,1
1630415979130,1
1630415979239,1
1630415979333,1
1630415979411,1
1630415979505,1
1630415979648,1
1630415979742,1
1630415979820,1
1630415979929,1
1630415980038,1
1630415980116,1
1630415980272,1
