timestamp,breathing_waveform
1629376330039,7780808
1629376330079,7778930
1629376330119,7777992
1629376330159,7776844
1629376330199,7775332
1629376330239,7773872
1629376330279,7771734
1629376330319,7769909
1629376330359,7768709
1629376330399,7766936
1629376330439,7767092
1629376330479,7767770
1629376330519,7767927
1629376330559,7766675
1629376330599,7766780
1629376330639,7764276
1629376330679,7764276
1629376330719,7762973
1629376330759,7760730
1629376330799,7758071
1629376330839,7756506
1629376330879,7754942
1629376330919,7755828
1629376330959,7754316
1629376330999,7753169
1629376331039,7751708
1629376331079,7749153
1629376331119,7746806
1629376331159,7743573
1629376331199,7742843
1629376331239,7741592
1629376331279,7738462
1629376331319,7738306
1629376331359,7738358
1629376331399,7739870
1629376331439,7739818
1629376331479,7739662
1629376331519,7738462
1629376331559,7738462
1629376331599,7738567
1629376331639,7738149
1629376331679,7738932
1629376331719,7738880
1629376331759,7739088
1629376331799,7738723
1629376331839,7738358
1629376331879,7737680
1629376331919,7736794
1629376331959,7737628
1629376331999,7738410
1629376332039,7738775
1629376332079,7738202
1629376332119,7737107
1629376332159,7735803
1629376332199,7734864
1629376332239,7734603
1629376332279,7735646
1629376332319,7737315
1629376332359,7738671
1629376332399,7739401
1629376332439,7738671
1629376332479,7739818
1629376332519,7740549
1629376332559,7739610
1629376332599,7739558
1629376332639,7738827
1629376332679,7738098
1629376332719,7738619
1629376332759,7738045
1629376332799,7737002
1629376332839,7736898
1629376332879,7736429
1629376332919,7736533
1629376332959,7737107
1629376332999,7739975
1629376333039,7747954
1629376333079,7750926
1629376333119,7750457
1629376333159,7747693
1629376333199,7745398
1629376333239,7741800
1629376333279,7740027
1629376333319,7740183
1629376333359,7739662
1629376333399,7739818
1629376333439,7739662
1629376333479,7739714
1629376333519,7740131
1629376333559,7739766
1629376333599,7741487
1629376333639,7745346
1629376333679,7747745
1629376333719,7749362
1629376333759,7750613
1629376333799,7751030
1629376333839,7750874
1629376333879,7752230
1629376333919,7753742
1629376333959,7754159
1629376333999,7756141
1629376334039,7757810
1629376334079,7757914
1629376334119,7755202
1629376334159,7753377
1629376334199,7754629
1629376334239,7756245
1629376334279,7755985
1629376334319,7755255
1629376334359,7752960
1629376334399,7750248
1629376334439,7749883
1629376334479,7748162
1629376334519,7745555
1629376334559,7743834
1629376334599,7744720
1629376334639,7745659
1629376334679,7746963
1629376334719,7746702
1629376334759,7746389
1629376334799,7747484
1629376334839,7748527
1629376334879,7749049
1629376334919,7750300
1629376334959,7750196
1629376334999,7751239
1629376335039,7753534
1629376335079,7754681
1629376335119,7755463
1629376335159,7755515
1629376335199,7755515
1629376335239,7755463
1629376335279,7755307
1629376335319,7755672
1629376335359,7753846
1629376335399,7752282
