timestamp,temp
1629376823000,31.45
1629376823250,31.45
1629376823500,31.45
1629376823750,31.45
1629376824000,31.45
1629376824250,31.45
1629376824500,31.45
1629376824750,31.45
1629376825000,31.47
1629376825250,31.47
1629376825500,31.47
1629376825750,31.47
1629376826000,31.47
1629376826250,31.47
1629376826500,31.47
1629376826750,31.47
1629376827000,31.47
1629376827250,31.47
1629376827500,31.47
1629376827750,31.47
1629376828000,31.47
1629376828250,31.47
1629376828500,31.47
1629376828750,31.47
1629376829000,31.47
1629376829250,31.47
1629376829500,31.47
1629376829750,31.47
1629376830000,31.45
1629376830250,31.45
1629376830500,31.45
1629376830750,31.45
1629376831000,31.45
1629376831250,31.45
1629376831500,31.45
1629376831750,31.45
1629376832000,31.47
1629376832250,31.47
1629376832500,31.47
1629376832750,31.47
1629376833000,31.47
1629376833250,31.47
1629376833500,31.47
1629376833750,31.47
1629376834000,31.47
1629376834250,31.47
1629376834500,31.47
1629376834750,31.47
1629376835000,31.45
1629376835250,31.45
1629376835500,31.45
1629376835750,31.45
1629376836000,31.45
1629376836250,31.45
1629376836500,31.45
1629376836750,31.45
1629376837000,31.49
1629376837250,31.49
1629376837500,31.49
1629376837750,31.49
1629376838000,31.45
1629376838250,31.45
1629376838500,31.45
1629376838750,31.45
1629376839000,31.45
1629376839250,31.45
1629376839500,31.45
1629376839750,31.45
1629376840000,31.47
1629376840250,31.47
1629376840500,31.47
1629376840750,31.47
1629376841000,31.45
1629376841250,31.45
1629376841500,31.45
1629376841750,31.45
1629376842000,31.45
1629376842250,31.45
1629376842500,31.45
1629376842750,31.45
1629376843000,31.45
1629376843250,31.45
1629376843500,31.45
1629376843750,31.45
1629376844000,31.45
1629376844250,31.45
1629376844500,31.45
1629376844750,31.45
1629376845000,31.47
1629376845250,31.47
1629376845500,31.47
1629376845750,31.47
1629376846000,31.47
1629376846250,31.47
1629376846500,31.47
1629376846750,31.47
1629376847000,31.45
1629376847250,31.45
1629376847500,31.45
1629376847750,31.45
1629376848000,31.45
1629376848250,31.45
1629376848500,31.45
1629376848750,31.45
1629376849000,31.45
1629376849250,31.45
