timestamp,is_clench
1631193037344,1
1631193037984,1
1631193038253,1
1631193038581,1
1631193038753,1
1631193039018,1
1631193039521,1
1631193170165,1
1631193170337,1
1631193196490,1
1631193197805,1
1631193198542,1
1631193199138,1
1631193201971,1
1631193202333,1
1631193202739,1
1631193202880,1
1631193203382,1
1631193203648,1
1631193205138,1
1631193284945,1
1631193392467,1
1631193407664,1
1631193421666,1
1631193487952,1
1631193507863,1
1631193540913,1
1631193548855,1
1631193550893,1
1631193551192,1
1631193605284,1
1631193615097,1
1631193649159,1
1631193660750,1
1631193660894,1
1631193725678,1
1631193725837,1
1631193781309,1
1631193842877,1
1631193847948,1
1631193852210,1
1631193854464,1
1631193857417,1
1631193908686,1
1631193949194,1
1631193956121,1
