timestamp,is_clench
1630675132379,1
1630675307533,1
1630675307655,1
1630675321178,1
1630675321404,1
1630675321770,1
1630675333558,1
1630675334723,1
1630675335093,1
1630675335579,1
1630675338756,1
1630675340382,1
1630675340590,1
1630675341052,1
1630675342670,1
1630675343427,1
1630675353588,1
1630675353791,1
1630675389722,1
1630675389923,1
1630675452767,1
1630675466429,1
1630675469652,1
1630675475855,1
1630675476121,1
1630675519381,1
1630675521634,1
1630675524009,1
1630675524287,1
1630675525523,1
1630675544422,1
1630675576502,1
1630675576841,1
1630675741773,1
