trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
232.5636316,233.7810684,0.1,comma,comma,1,1.873352043,0,0
234.480934,235.7936558,0.3,period,period,1,1.77870981,1,0
236.2888811,237.7144816,-0.3,z,z,1,1.799851384,2,0
238.1241773,239.4810711,-0.1,x,x,1,1.738293281,3,0
239.9131129,241.1603532,0.3,period,period,1,1.671244983,4,0
241.623663,242.7808245,-0.3,z,z,1,1.504760768,5,0
243.1788865,244.4808081,-0.1,x,x,1,1.677486317,6,0
244.8897036,246.0600953,-0.3,z,z,1,1.617580153,7,0
246.5450703,247.8140178,-0.3,z,z,1,1.677070303,8,0
248.2566963,249.5933564,-0.1,x,x,1,1.660376166,9,0
249.9563743,251.2809953,0.1,comma,comma,1,1.793554247,10,0
251.7901839,252.8264686,0.1,comma,comma,1,1.593687664,11,0
253.4224127,254.6400716,0.1,comma,comma,1,1.52841226,12,0
254.9855705,256.1810017,-0.1,x,x,1,1.768193595,13,0
256.7868125,257.8801568,0.3,period,period,1,1.445966032,14,0
258.2802454,259.5466557,0.1,comma,comma,1,1.67936713,15,0
259.9897301,261.0935326,-0.3,z,z,1,1.473952909,16,0
261.5123394,262.560155,0.1,comma,comma,1,1.315111288,17,0
262.8801514,264.0471619,0.3,period,period,1,1.47324086,18,0
264.3902951,265.6136442,0.1,comma,comma,1,1.512086108,19,0
265.9451028,267.2267316,0.1,comma,comma,1,1.703224992,20,0
267.6909272,268.8598594,0.3,period,period,1,1.521271177,21,0
269.2458267,270.5594874,-0.3,z,z,1,1.601418755,22,0
270.8787385,272.1263693,-0.1,x,x,1,1.626290137,23,0
272.5427076,273.6270843,0.3,period,period,1,1.495240277,24,0
274.0785056,275.4261694,-0.3,z,z,1,1.670339782,25,0
275.7890412,277.0470154,-0.3,z,z,1,1.655801942,26,0
277.4763701,278.5601403,0.3,period,period,1,1.492458176,27,0
279.0123689,280.1595285,-0.3,z,z,1,1.497376327,28,0
280.5427107,281.9803889,0.3,period,period,1,1.811946516,29,0
282.3903137,283.6936899,-0.1,x,x,1,1.827358276,30,0
284.2558493,285.2796509,-0.1,x,x,1,1.450529211,31,0
285.7424456,286.8266808,0.3,period,period,1,1.581521154,32,0
