timestamp,hr,br,posture,hr_confidence,hrv,is_hr_unreliable,is_br_unreliable,is_hrv_unreliable
1629880722448,79,15.0,-175,100,92,0,0,0
1629880723448,76,15.0,-175,100,92,0,0,0
1629880724448,73,15.0,-175,100,93,0,0,0
1629880725448,73,15.0,-175,100,93,0,0,0
1629880726448,74,15.0,-173,100,92,0,0,0
1629880727448,75,15.0,-173,100,92,0,0,0
1629880728448,77,15.0,-175,100,92,0,0,0
1629880729448,78,15.0,-175,100,92,0,0,0
1629880730448,76,14.0,-175,100,92,0,0,0
1629880731448,73,14.0,-175,100,92,0,0,0
1629880732448,71,14.0,-175,100,92,0,0,0
1629880733448,69,14.0,-173,100,93,0,0,0
1629880734448,67,14.0,-173,100,94,0,0,0
1629880735448,65,14.0,-173,100,95,0,0,0
1629880736448,65,14.0,-175,100,95,0,0,0
1629880737448,67,14.0,-175,100,95,0,0,0
1629880738448,70,13.0,-173,100,95,0,0,0
1629880739448,68,13.0,-173,100,95,0,0,0
1629880740448,64,13.0,-175,100,96,0,0,0
1629880741448,62,13.0,-175,100,97,0,0,0
1629880742448,62,13.0,-173,100,97,0,0,0
1629880743448,68,13.0,-175,100,97,0,0,0
1629880744448,70,12.0,-175,100,97,0,0,0
1629880745448,70,12.0,-173,100,97,0,0,0
1629880746448,69,12.0,-175,100,97,0,0,0
1629880747448,67,12.0,-173,100,97,0,0,0
1629880748448,69,12.0,-173,100,97,0,0,0
1629880749448,70,12.0,-173,100,97,0,0,0
1629880750448,71,11.0,-175,100,97,0,0,0
1629880751448,70,11.0,-173,100,97,0,0,0
1629880752448,69,11.0,-175,100,97,0,0,0
1629880753448,70,11.0,-175,100,97,0,0,0
1629880754448,71,11.0,-173,100,96,0,0,0
1629880755448,72,11.0,-173,100,96,0,0,0
1629880756448,75,11.0,-175,100,95,0,0,0
1629880757448,78,11.0,-175,100,95,0,0,0
1629880758448,81,11.0,-175,100,95,0,0,0
1629880759448,80,11.0,-175,100,95,0,0,0
1629880760448,80,10.0,-175,100,95,0,0,0
1629880761448,79,10.0,-175,100,95,0,0,0
1629880762448,78,10.0,-175,100,95,0,0,0
1629880763448,78,10.0,-175,100,95,0,0,0
1629880764448,82,11.0,-175,100,95,0,0,0
1629880765448,85,11.0,-175,100,95,0,0,0
1629880766448,86,11.0,-175,100,96,0,0,0
1629880767448,87,11.0,-175,100,96,0,0,0
1629880768448,84,11.0,-175,100,96,0,0,0
1629880769448,81,11.0,-175,100,95,0,0,0
1629880770448,81,11.0,-175,100,95,0,0,0
1629880771448,80,11.0,-175,100,95,0,0,0
1629880772448,80,11.0,-175,100,95,0,0,0
1629880773448,75,11.0,-175,100,96,0,0,0
1629880774448,71,12.0,-175,100,96,0,0,0
1629880775448,69,12.0,-175,100,96,0,0,0
1629880776448,69,12.0,-175,100,96,0,0,0
1629880777448,70,12.0,-175,100,96,0,0,0
1629880778448,71,12.0,-175,100,96,0,0,0
1629880779448,73,12.0,-175,100,95,0,0,0
1629880780448,71,12.0,-175,100,95,0,0,0
1629880781448,68,12.0,-175,100,95,0,0,0
1629880782448,66,12.0,-175,100,95,0,0,0
1629880783448,65,12.0,-175,100,95,0,0,0
1629880784448,67,12.0,-175,100,95,0,0,0
1629880785448,72,12.0,-175,100,95,0,0,0
1629880786448,72,12.0,-175,100,95,0,0,0
1629880787448,69,12.0,-175,100,95,0,0,0
1629880788448,64,13.0,-175,100,96,0,0,0
1629880789448,61,13.0,-175,100,97,0,0,0
1629880790448,61,13.0,-175,100,97,0,0,0
1629880791448,62,13.0,-175,100,97,0,0,0
1629880792448,65,13.0,-175,100,97,0,0,0
1629880793448,69,13.0,-175,100,97,0,0,0
1629880794448,70,13.0,-175,100,97,0,0,0
1629880795448,66,13.0,-175,100,97,0,0,0
1629880796448,63,13.0,-175,100,97,0,0,0
1629880797448,61,13.0,-175,100,97,0,0,0
1629880798448,61,12.0,-175,100,97,0,0,0
1629880799448,63,12.0,-175,100,96,0,0,0
1629880800448,65,12.0,-175,100,96,0,0,0
1629880801448,64,12.0,-175,100,96,0,0,0
1629880802448,64,12.0,-175,100,96,0,0,0
1629880803448,69,12.0,-175,100,95,0,0,0
1629880804448,74,12.0,-176,100,95,0,0,0
1629880805448,78,12.0,-176,100,95,0,0,0
1629880806448,78,12.0,-176,100,94,0,0,0
1629880807448,75,12.0,-175,100,94,0,0,0
1629880808448,72,12.0,-175,100,94,0,0,0
1629880809448,68,12.0,-175,100,94,0,0,0
1629880810448,67,12.0,-175,100,94,0,0,0
1629880811448,68,12.0,-175,100,93,0,0,0
1629880812448,69,11.0,-175,100,93,0,0,0
1629880813448,73,11.0,-175,100,93,0,0,0
1629880814448,76,11.0,-175,100,93,0,0,0
1629880815448,81,11.0,-175,100,92,0,0,0
1629880816448,84,11.0,-175,100,92,0,0,0
1629880817448,81,11.0,-175,100,92,0,0,0
1629880818448,78,11.0,-175,100,92,0,0,0
1629880819448,75,11.0,-175,100,92,0,0,0
1629880820448,72,11.0,-175,100,92,0,0,0
1629880821448,71,11.0,-175,100,92,0,0,0
1629880822448,73,11.0,-175,100,92,0,0,0
1629880823448,74,11.0,-175,100,92,0,0,0
1629880824448,74,10.0,-175,100,92,0,0,0
1629880825448,71,10.0,-175,100,92,0,0,0
1629880826448,70,10.0,-175,100,92,0,0,0
1629880827448,70,10.0,-175,100,92,0,0,0
1629880828448,71,10.0,-175,100,92,0,0,0
1629880829448,72,10.0,-175,100,92,0,0,0
1629880830448,71,10.0,-175,100,91,0,0,0
1629880831448,71,10.0,-175,100,91,0,0,0
1629880832448,72,10.0,-175,100,91,0,0,0
1629880833448,73,10.0,-175,100,91,0,0,0
1629880834448,72,10.0,-175,100,91,0,0,0
1629880835448,70,10.0,-175,100,91,0,0,0
1629880836448,68,10.0,-175,100,91,0,0,0
1629880837448,68,10.0,-175,100,91,0,0,0
1629880838448,71,10.0,-175,100,91,0,0,0
1629880839448,75,10.0,-175,100,91,0,0,0
1629880840448,77,9.0,-175,100,90,0,0,0
1629880841448,77,9.0,-175,100,90,0,0,0
1629880842448,74,9.0,-175,100,90,0,0,0
1629880843448,70,9.0,-175,100,90,0,0,0
1629880844448,69,9.0,-173,100,90,0,0,0
