timestamp,breathing_waveform
1629880721648,7376703
1629880721688,7370966
1629880721728,7366794
1629880721768,7362466
1629880721808,7359180
1629880721848,7355739
1629880721888,7352870
1629880721928,7350576
1629880721968,7348803
1629880722008,7347186
1629880722048,7345882
1629880722088,7344214
1629880722128,7342232
1629880722168,7341971
1629880722208,7342180
1629880722248,7340146
1629880722288,7339989
1629880722328,7337538
1629880722368,7336130
1629880722408,7334201
1629880722448,7331802
1629880722488,7331177
1629880722528,7328673
1629880722568,7325544
1629880722608,7322415
1629880722648,7319495
1629880722688,7317878
1629880722728,7316157
1629880722768,7314958
1629880722808,7313654
1629880722848,7313289
1629880722888,7312194
1629880722928,7311464
1629880722968,7310056
1629880723008,7310212
1629880723048,7308700
1629880723088,7307605
1629880723128,7306458
1629880723168,7305884
1629880723208,7304476
1629880723248,7303902
1629880723288,7304215
1629880723328,7303850
1629880723368,7304007
1629880723408,7303016
1629880723448,7300565
1629880723488,7296706
1629880723528,7292169
1629880723568,7289092
1629880723608,7288466
1629880723648,7289300
1629880723688,7291647
1629880723728,7292534
1629880723768,7292430
1629880723808,7292169
1629880723848,7290708
1629880723888,7290030
1629880723928,7289613
1629880723968,7288414
1629880724008,7287840
1629880724048,7286328
1629880724088,7285441
1629880724128,7284503
1629880724168,7283877
1629880724208,7282208
1629880724248,7282730
1629880724288,7280331
1629880724328,7278714
1629880724368,7275898
1629880724408,7274959
1629880724448,7273499
1629880724488,7272508
1629880724528,7272769
1629880724568,7272508
1629880724608,7271257
1629880724648,7270892
1629880724688,7270840
1629880724728,7269797
1629880724768,7268910
1629880724808,7269014
1629880724848,7268545
1629880724888,7267502
1629880724928,7267815
1629880724968,7268232
1629880725008,7267867
1629880725048,7266668
1629880725088,7266407
1629880725128,7264686
1629880725168,7262965
1629880725208,7262339
1629880725248,7261244
1629880725288,7261036
1629880725328,7260045
1629880725368,7259836
1629880725408,7259628
1629880725448,7259680
1629880725488,7259210
1629880725528,7259106
1629880725568,7258637
1629880725608,7257907
1629880725648,7256707
1629880725688,7256290
1629880725728,7256029
1629880725768,7255716
1629880725808,7255560
1629880725848,7255403
1629880725888,7256446
1629880725928,7254726
