timestamp,is_clench
1629880817689,1
1629880908773,1
1629880909825,1
1629880910082,1
1629880910984,1
1629880911205,1
1629880912208,1
1629880915692,1
1629880917101,1
1629880918181,1
1629880918619,1
1629880919877,1
1629880921584,1
1629880922491,1
1629880923728,1
1629880923947,1
1629880924618,1
1629880925159,1
1629880931290,1
1629880933183,1
1629880933355,1
1629880934376,1
1629880934941,1
1629880935097,1
1629880936529,1
1629880936716,1
1629880942444,1
1629880942932,1
1629880945450,1
1629880947771,1
1629880948192,1
1629880948665,1
1629880950230,1
1629880950446,1
1629880951017,1
1629880952001,1
1629880955016,1
1629880955977,1
1629880956227,1
1629880956540,1
1629880958630,1
1629880958896,1
1629880960132,1
1629880961393,1
1629880961979,1
1629880962785,1
1629880964150,1
1629880965026,1
1629880965261,1
1629880965858,1
1629880966245,1
1629880967094,1
1629880967581,1
1629880969317,1
1629880971335,1
1629880971585,1
1629880973161,1
1629880976730,1
1629880977542,1
1629880977795,1
1629880978170,1
1629880978591,1
1629880978954,1
1629880979654,1
1629880980170,1
1629880980685,1
1629880982198,1
1629880982542,1
1629880983173,1
1629880984142,1
1629880984661,1
1629880985160,1
1629880985332,1
1629880987215,1
1629880987480,1
1629880988355,1
1629880989797,1
1629880990360,1
1629880990532,1
1629880991425,1
1629880992848,1
1629880994776,1
1629880996203,1
1629881000117,1
1629881003767,1
1629881003972,1
1629881005050,1
1629881005487,1
1629881007086,1
1629881007492,1
1629881010938,1
1629881014840,1
1629881017179,1
1629881022112,1
1629881022315,1
1629881023099,1
1629881023443,1
1629881027380,1
1629881028395,1
1629881028598,1
1629881028867,1
1629881029366,1
1629881031549,1
1629881032143,1
1629881035834,1
1629881036946,1
1629881037652,1
1629881039098,1
1629881109021,1
1629881266431,1
1629881271532,1
1629881272047,1
1629881275484,1
1629881277836,1
1629881280828,1
1629881281811,1
1629881282760,1
1629881283388,1
1629881284707,1
1629881285538,1
1629881285744,1
1629881287661,1
1629881290535,1
1629881291069,1
1629881291413,1
1629881295235,1
1629881295401,1
1629881296013,1
1629881305373,1
1629881306978,1
1629881312553,1
1629881317470,1
1629881347732,1
1629881348596,1
1629881349837,1
1629881350051,1
1629881353144,1
1629881384567,1
1629881390127,1
1629881405196,1
1629881405508,1
1629881406639,1
1629881409560,1
1629881411400,1
1629881412013,1
1629881414365,1
1629881417924,1
1629881422951,1
1629881423926,1
1629881425429,1
1629881436771,1
1629881443071,1
1629881450303,1
1629881453451,1
1629881454344,1
1629881465264,1
1629881465967,1
1629881466155,1
1629881467706,1
1629881471604,1
1629881474124,1
1629881475973,1
1629881485400,1
1629881486662,1
1629881491912,1
1629881492365,1
1629881493274,1
1629881495604,1
1629881495810,1
1629881499497,1
1629881500070,1
1629881504252,1
1629881504703,1
1629881509203,1
1629881514121,1
1629881514293,1
1629881517850,1
1629881530849,1
1629881537143,1
1629881542434,1
1629881549722,1
1629881550003,1
1629881551772,1
1629881554486,1
1629881568509,1
1629881568680,1
1629881572954,1
1629881584162,1
1629881584396,1
1629881590637,1
1629881602127,1
1629881604924,1
1629881605079,1
1629881638789,1
1629881652329,1
1629881671513,1
1629881672519,1
1629881673114,1
1629881673630,1
1629881675799,1
1629881676955,1
1629881680625,1
1629881681745,1
1629881682463,1
1629881684467,1
1629881684704,1
1629881685328,1
1629881685547,1
1629881685828,1
1629881687221,1
1629881688016,1
