timestamp,is_clench
1629897193796,1
1629897194330,1
1629897376132,1
1629897376568,1
1629897377756,1
1629897377913,1
1629897378548,1
1629897379286,1
1629897380199,1
1629897380649,1
1629897381594,1
1629897381781,1
1629897382062,1
1629897382189,1
1629897382485,1
1629897382723,1
1629897383412,1
1629897384018,1
1629897385516,1
1629897386142,1
1629897386578,1
1629897386717,1
1629897387403,1
1629897388110,1
1629897388930,1
1629897389592,1
1629897390236,1
1629897390856,1
1629897391621,1
1629897392393,1
1629897392988,1
1629897393485,1
1629897393688,1
1629897394471,1
1629897394861,1
1629897396541,1
1629897397250,1
1629897397531,1
1629897398131,1
1629897398461,1
1629897398744,1
1629897398934,1
1629897399775,1
1629897400136,1
1629897400790,1
1629897401074,1
1629897401590,1
1629897402327,1
1629897403376,1
1629897403957,1
1629897404566,1
1629897405366,1
1629897406647,1
1629897407168,1
1629897407355,1
1629897407824,1
1629897408092,1
1629897408717,1
1629897409314,1
1629897409580,1
1629897410349,1
1629897411273,1
1629897412156,1
1629897413339,1
1629897413464,1
1629897413797,1
1629897413984,1
1629897414325,1
1629897414910,1
1629897416177,1
1629897416417,1
1629897416857,1
1629897417753,1
1629897417973,1
1629897418286,1
1629897419403,1
1629897419568,1
1629897421067,1
1629897421646,1
1629897422335,1
1629897422961,1
1629897423926,1
1629897424442,1
1629897425126,1
1629897425594,1
1629897426974,1
1629897427838,1
1629897428602,1
1629897428807,1
1629897429163,1
1629897429661,1
1629897430151,1
1629897430399,1
1629897431123,1
1629897434543,1
1629897435811,1
1629897436028,1
1629897436529,1
1629897437737,1
1629897437973,1
1629897438729,1
1629897439271,1
1629897440113,1
1629897440685,1
1629897442688,1
1629897443248,1
1629897443419,1
1629897444064,1
1629897444633,1
1629897444850,1
1629897445788,1
1629897446287,1
1629897446883,1
1629897447386,1
1629897449011,1
1629897449497,1
1629897450997,1
1629897451593,1
1629897452439,1
1629897452690,1
1629897453083,1
1629897455245,1
1629897456030,1
1629897456234,1
1629897457769,1
1629897459115,1
1629897459743,1
1629897460518,1
1629897461520,1
1629897461707,1
1629897464580,1
1629897464767,1
1629897465376,1
1629897465563,1
1629897465879,1
1629897466738,1
1629897467115,1
1629897467412,1
1629897467961,1
1629897470681,1
1629897472195,1
1629897472476,1
1629897472664,1
1629897473176,1
1629897473441,1
1629897476187,1
1629897476684,1
1629897479068,1
1629897480400,1
1629897480802,1
1629897481057,1
1629897482669,1
1629897483200,1
1629897483652,1
1629897484390,1
1629897485110,1
1629897486444,1
1629897486690,1
1629897488443,1
1629897488747,1
1629897489327,1
1629897489546,1
1629897490498,1
1629897491122,1
1629897491825,1
1629897493293,1
1629897493603,1
1629897493810,1
1629897494549,1
1629897496573,1
1629897497384,1
1629897497634,1
1629897498870,1
1629897499289,1
1629897499813,1
1629897500679,1
1629897502146,1
1629897502343,1
1629897502768,1
1629897504269,1
1629897504971,1
1629897506032,1
1629897506831,1
1629897508044,1
1629897512685,1
1629897524926,1
1629897525457,1
1629897525879,1
1629897526082,1
1629897562141,1
1629897569394,1
1629897584960,1
1629897594794,1
1629897610139,1
1629897618759,1
1629897624267,1
1629897624436,1
1629897629424,1
1629897639987,1
1629897641367,1
1629897641586,1
1629897648046,1
1629897649816,1
1629897650167,1
1629897650370,1
